Timestamp,Net Sent (Bytes),Net Recv (Bytes)
2024-06-19 01:36:23.630506,0,0
2024-06-19 01:36:24.631865,9947,16038
2024-06-19 01:36:25.632610,16338,26748
2024-06-19 01:36:26.633950,19017,19532
2024-06-19 01:36:27.635601,23122,17468
2024-06-19 01:36:28.637091,25259,19272
2024-06-19 01:36:29.638495,23997,18520
2024-06-19 01:36:30.640019,24916,18522
2024-06-19 01:36:31.641630,24857,18788
2024-06-19 01:36:32.643072,25234,19930
2024-06-19 01:36:33.643882,24273,19166
2024-06-19 01:36:34.645365,24528,18986
2024-06-19 01:36:35.647035,25327,19706
2024-06-19 01:36:36.648286,25509,19950
2024-06-19 01:36:37.649991,24145,18512
2024-06-19 01:36:38.651603,24741,19734
2024-06-19 01:36:39.653161,23966,18470
2024-06-19 01:36:40.654546,24255,18044
2024-06-19 01:36:41.656264,24817,19782
2024-06-19 01:36:42.658023,24751,19210
2024-06-19 01:36:43.659513,24186,18068
2024-06-19 01:36:44.659859,24944,18812
2024-06-19 01:36:45.661204,24285,19406
2024-06-19 01:36:46.662894,24373,19496
2024-06-19 01:36:47.664199,25687,20142
2024-06-19 01:36:48.665764,24183,18645
2024-06-19 01:36:49.667093,24675,19426
2024-06-19 01:36:50.668087,23155,17962
2024-06-19 01:36:51.669680,23731,18356
2024-06-19 01:36:52.671484,23696,17980
2024-06-19 01:36:53.672011,25122,19440
2024-06-19 01:36:54.673644,24088,17764
2024-06-19 01:36:55.675250,29040,27428
2024-06-19 01:36:56.675901,22898,17290
2024-06-19 01:36:57.677377,24676,19428
2024-06-19 01:36:58.678769,24983,19110
2024-06-19 01:36:59.679962,24658,18938
2024-06-19 01:37:00.681294,24585,18318
2024-06-19 01:37:01.681798,24439,18648
2024-06-19 01:37:02.683329,24152,18038
